stock_code,year,roa,roe,operating_cash_flow,total_assets,net_profit
000001,2020,0.85,11.25,12500000000,4200000000000 ,28500000000 
000001,2021,0.92,12.1,13200000000,4500000000000 ,31200000000 
000001,2022,0.88,11.8,12800000000,4600000000000 ,29800000000 
000002,2020,2.45,15.8,35000000000,1800000000000 ,41500000000 
000002,2021,2.6,16.5,38000000000,1900000000000 ,45200000000 
000002,2022,2.35,15.2,33000000000,2000000000000 ,42000000000 
600000,2020,0.75,10.5,28000000000,7200000000000 ,52000000000 
600000,2021,0.82,11.2,31000000000,7500000000000 ,58000000000 
600000,2022,0.79,10.9,29500000000,7800000000000 ,55000000000 
600036,2020,1.35,16.8,45000000000,8500000000000 ,110000000000 
600036,2021,1.42,17.5,48000000000,9000000000000 ,118000000000 
600036,2022,1.38,17,46000000000,9500000000000 ,115000000000 
